Accession,NumUnusuals
AB097865,4
AB097866,3
AB097867,0
AB097868,1
AB097869,1
AB097871,0
AB097872,0
AB097873,0
AB428551,0
AB428552,0
AB428553,0
AB428554,0
AB428555,0
AB428556,0
AB428557,1
AB428558,0
AB428559,0
AB428560,0
AB428561,1
AB428562,0
AB588196,0
AB588207,0
AB588209,0
AB588211,0
AB588223,0
AB588232,0
AB588243,0
AB588253,2
AB588263,1
AB588271,1
AB588283,0
AB588291,0
AB588311,0
AB588319,1
AB588329,2
AB703607,0
AB703608,0
AB703609,0
AB703610,0
AB703611,0
AB703612,1
AB703613,1
AB703614,0
AB703615,0
AB703616,0
AF025749,0
AF025750,0
AF025751,0
AF025752,0
AF025753,1
AF025754,1
AF025755,1
AF025756,2
AF025757,1
AF025759,2
AF025760,2
AF025761,0
AF025762,1
AF025763,0
AF025764,1
AF041125,0
AF041126,2
AF041127,1
AF041128,0
AF041129,0
AF041130,0
AF041131,0
AF041132,0
AF041133,0
AF041134,0
AF041135,0
AF070703,1
AF070704,0
AF070705,1
AF070706,1
AF070707,4
AF070708,1
AF070709,1
AF070710,0
AF070711,1
AF070712,0
AF070713,0
AF110959,1
AF110962,0
AF110967,1
AF110969,0
AF110972,0
AF110973,0
AF110976,0
AF110979,0
AF277054,1
AF277055,0
AF277056,0
AF277057,0
AF277058,0
AF277059,2
AF277060,1
AF277061,0
AF277062,0
AF277063,0
AF277064,1
AF277065,0
AF277066,2
AF277067,1
AF277068,2
AF277069,0
AF277070,1
AF277071,1
AF277072,0
AF277073,0
AF277074,3
AF277075,0
AF286237,1
AF286238,0
AF286239,1
AF286241,0
AF316544,1
AF332867,1
AF361871,0
AF361872,0
AF361873,0
AF361874,0
AF361875,0
AF361876,1
AF361877,1
AF361878,0
AF361879,1
AF385934,1
AF385935,0
AF385936,0
AF391230,1
AF391232,0
AF391233,0
AF391234,0
AF391235,1
AF391238,1
AF391240,3
AF391242,0
AF391243,0
AF391245,0
AF391247,2
AF391249,4
AF391250,0
AF408626,0
AF408627,0
AF408628,2
AF408629,3
AF408630,1
AF408631,2
AF408632,0
AF443074,1
AF443075,0
AF443076,0
AF443077,0
AF443078,4
AF443079,0
AF443080,0
AF443081,2
AF443082,2
AF443083,1
AF443084,0
AF443085,1
AF443086,1
AF443087,1
AF443088,1
AF443089,0
AF443090,2
AF443091,5
AF443092,0
AF443093,1
AF443094,2
AF443095,1
AF443096,1
AF443097,0
AF443098,0
AF443099,0
AF443100,2
AF443101,0
AF443102,0
AF443103,0
AF443104,0
AF443105,1
AF443106,4
AF443107,1
AF443108,2
AF443109,0
AF443110,0
AF443111,2
AF443112,0
AF443113,0
AF443114,2
AF443115,1
AF457051,2
AF457052,0
AF457053,0
AF457054,0
AF457055,0
AF457056,1
AF457058,0
AF457059,0
AF457061,0
AF457062,0
AF457063,0
AF457064,1
AF457065,0
AF457066,0
AF457067,0
AF457068,0
AF457069,0
AF457070,2
AF457072,1
AF457073,0
AF457075,0
AF457077,0
AF457078,0
AF457079,1
AF457080,0
AF457081,0
AF457082,1
AF457083,0
AF457084,0
AF457085,0
AF457086,0
AF457087,0
AF457088,0
AF457089,0
AF457090,0
AF484477,0
AF484478,2
AF484479,0
AF484480,1
AF484481,0
AF484482,0
AF484483,0
AF484485,0
AF484486,1
AF484487,1
AF484488,1
AF484489,0
AF484490,1
AF484491,2
AF484492,0
AF484493,1
AF484494,0
AF484495,1
AF484496,0
AF484497,0
AF484498,1
AF484499,0
AF484500,0
AF484501,0
AF484502,1
AF484503,0
AF484504,0
AF484505,5
AF484506,0
AF484507,1
AF484508,0
AF484509,1
AF484510,0
AF484511,0
AF484512,2
AF484515,0
AF484516,0
AF484517,0
AF484518,1
AF484519,0
AF484520,0
AF484521,0
AF484522,0
AJ249235,0
AJ249236,1
AJ249237,5
AJ249238,3
AJ249239,0
AJ277823,0
AJ401034,4
AJ401035,0
AJ401036,0
AJ401037,1
AJ401038,0
AJ401039,1
AJ401040,3
AJ401041,0
AJ401043,2
AJ401044,0
AJ401045,2
AJ401046,0
AM279343,0
AM279344,0
AM279345,0
AM279346,0
AM279347,1
AM279348,0
AM279349,0
AM279350,0
AM279351,0
AM279352,0
AM279353,1
AM279354,1
AM279355,0
AM279356,0
AM279357,0
AM279359,0
AM279360,3
AM279361,0
AM279362,2
AM279363,0
AM279364,1
AM279365,0
AM279366,0
AM279367,0
AM279368,1
AM279369,0
AY037266,0
AY037267,0
AY037268,2
AY037269,0
AY037270,1
AY037271,0
AY037272,0
AY037275,0
AY037277,0
AY037278,0
AY037280,0
AY037281,0
AY037282,0
AY037283,0
AY247218,0
AY247219,0
AY247220,0
AY247221,0
AY247222,0
AY247223,0
AY247224,0
AY247225,0
AY253303,1
AY253304,0
AY253305,0
AY253306,0
AY253307,0
AY253308,0
AY253309,1
AY253310,0
AY253311,0
AY253312,0
AY253313,0
AY253314,0
AY253315,0
AY253316,0
AY253317,0
AY253318,4
AY253319,2
AY253320,0
AY253321,1
AY253322,0
AY331282,1
AY331284,0
AY331285,2
AY331287,0
AY331289,0
AY331291,0
AY331292,1
AY331294,0
AY331296,0
AY358036,1
AY358037,0
AY358038,0
AY358039,0
AY358040,0
AY358041,0
AY358042,0
AY358043,0
AY358044,0
AY358045,0
AY358046,0
AY358047,0
AY358048,0
AY358049,0
AY358050,0
AY358051,0
AY358052,0
AY358056,0
AY358057,1
AY358059,1
AY358060,0
AY358061,0
AY358062,0
AY358063,0
AY358064,1
AY358066,0
AY358067,0
AY358068,0
AY358069,0
AY358070,2
AY358071,0
AY358072,0
AY358073,0
AY371121,0
AY371122,0
AY371123,0
AY371124,0
AY371125,1
AY371126,2
AY371127,0
AY371128,0
AY371129,0
AY371130,0
AY371131,0
AY371132,0
AY371133,1
AY371134,0
AY371136,0
AY371137,0
AY371138,0
AY371139,0
AY371140,1
AY371141,0
AY371142,1
AY371143,0
AY371145,0
AY371146,0
AY371147,0
AY371149,1
AY371150,0
AY371151,0
AY371153,0
AY371154,0
AY371155,1
AY371156,0
AY371157,0
AY371158,0
AY371159,0
AY371160,0
AY371161,0
AY371162,0
AY371163,0
AY371164,1
AY371165,0
AY371166,0
AY371168,0
AY371169,0
AY371170,2
AY444799,1
AY444800,0
AY444801,0
AY444803,0
AY444804,0
AY444805,2
AY444806,0
AY444809,0
AY444811,0
AY444812,0
AY463217,0
AY463218,0
AY463219,1
AY463220,1
AY463221,0
AY463222,0
AY463223,0
AY463224,0
AY463225,1
AY463226,1
AY463227,0
AY463228,0
AY463229,0
AY463230,0
AY463231,0
AY463232,0
AY463233,1
AY463234,0
AY463235,1
AY463236,0
AY463237,2
AY494968,1
AY522721,0
AY522722,1
AY522723,8
AY522724,1
AY522725,0
AY522726,0
AY522727,0
AY522728,0
AY522729,0
AY522730,0
AY522731,0
AY522732,1
AY522733,0
AY522734,0
AY522735,0
AY522736,6
AY585264,3
AY585265,0
AY585266,2
AY585267,1
AY585268,0
AY703908,0
AY703909,2
AY703910,0
AY703911,0
AY713406,0
AY713408,0
AY713410,1
AY713412,0
AY713413,1
AY713414,0
AY713415,0
AY713416,0
AY713417,0
AY713418,0
AY713419,0
AY713420,0
AY713421,0
AY713422,0
AY713423,0
AY713424,0
AY713425,0
AY734550,0
AY734551,0
AY734552,0
AY734553,0
AY734554,0
AY734555,0
AY734556,0
AY734558,1
AY734559,1
AY734560,0
AY734562,0
AY736838,0
AY772690,0
